Position Title,Company Name,Salary,city,State Name,Job Title,Skills,Tools
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Data Analyst,Other Agencies and Independent Organizations,$87198,Washington,District of Columbia,Data Analyst,"Data Visualization, Data Analysis ","SQL, Tableau "
Health System Specialist (Data Analyst),Department of Veterans Affairs,$59498,West Roxbury,Massachusetts,Data Analyst, , 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Data Analyst,Other Agencies and Independent Organizations,$87198,Washington,District of Columbia,Data Analyst,"Data Visualization, Data Analysis ","SQL, Tableau "
Health System Specialist (Data Analyst),Department of Veterans Affairs,$59498,West Roxbury,Massachusetts,Data Analyst, , 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Data Analyst,Other Agencies and Independent Organizations,$87198,Washington,District of Columbia,Data Analyst,"Data Visualization, Data Analysis ","SQL, Tableau "
Health System Specialist (Data Analyst),Department of Veterans Affairs,$59498,West Roxbury,Massachusetts,Data Analyst, , 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Data Analyst,Other Agencies and Independent Organizations,$87198,Washington,District of Columbia,Data Analyst,"Data Visualization, Data Analysis ","SQL, Tableau "
Health System Specialist (Data Analyst),Department of Veterans Affairs,$59498,West Roxbury,Massachusetts,Data Analyst, , 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Data Analyst,Other Agencies and Independent Organizations,$87198,Washington,District of Columbia,Data Analyst,"Data Visualization, Data Analysis ","SQL, Tableau "
Health System Specialist (Data Analyst),Department of Veterans Affairs,$59498,West Roxbury,Massachusetts,Data Analyst, , 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Data Analyst,Other Agencies and Independent Organizations,$87198,Washington,District of Columbia,Data Analyst,"Data Visualization, Data Analysis ","SQL, Tableau "
Health System Specialist (Data Analyst),Department of Veterans Affairs,$59498,West Roxbury,Massachusetts,Data Analyst, , 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,$87198,Patuxent River,Maryland,Computer Scientist,"Data Analysis, Statistics ", 
"Computer Engineer, Computer Scientist, Electrical Engineer, or Electronics Engineer",Other Agencies and Independent Organizations,$12253,Rockville,Maryland,Computer Scientist,Statistics ,Excel 
COMPUTER SCIENTIST/ENGINEER,Department of the Air Force,$77488,Eglin AFB,Florida,Computer Scientist,Statistics ,AI 
INTERDISCIPLINARY COMPUTER SCIENTIST/COMPUTER ENGINEER/ELECTRONICS ENGINEER,Department of the Air Force,$10260,Hanscom AFB,Massachusetts,Computer Scientist, ,AI 
Interdisciplinary Computer Engineer / Computer Scientist,Legislative Branch,$10840,Washington,District of Columbia,Computer Scientist,"ETL, Statistics ","Cloud, HTML, Scala "
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,$87198,Patuxent River,Maryland,Computer Scientist,"Data Analysis, Statistics ", 
Computer Scientist,Department of the Air Force,$66829,No location provided,,Computer Scientist,"Data Analysis, Statistics ",AI 
COMPUTER SCIENTIST,Department of the Navy,$87198,Saint Inigoes,Maryland,Computer Scientist,Statistics ,HTML 
Computer Scientist,Department of the Air Force,$50106,No location provided,,Computer Scientist,Statistics ,"HTML, AI "
Computer Scientist,Department of the Air Force,$30414,No location provided,,Computer Scientist,"Data Analysis, Statistics ",AI 
Computer Scientist,Department of the Treasury,$11097,No location provided,,Computer Scientist,Statistics ,Deep Learning 
COMPUTER SCIENTIST,Department of the Navy,$87198,Stafford,Virginia,Computer Scientist,Statistics , 
COMPUTER SCIENTIST,Department of the Army,$10647,Picatinny Arsenal,New Jersey,Computer Scientist,Statistics ,HTML 
COMPUTER SCIENTIST,Department of the Air Force,$10888,Eglin AFB,Florida,Computer Scientist,Statistics ,AI 
COMPUTER SCIENTIST/ENGINEER,Department of the Air Force,$77488,Eglin AFB,Florida,Computer Scientist,Statistics ,AI 
Student Trainee (Computer Scientist) (PATHWAYS),Department of Commerce,$25093,Boulder,Colorado,Computer Scientist,Statistics ,HTML 
"Computer Scientist, GS-1550-07/09/11/12, Census-MP-WKD",Department of Commerce,$49157,Suitland,Maryland,Computer Scientist,Statistics ,AI 
"Computer Scientist, GS-1550-07/09/11/12, Census-DE-WKD",Department of Commerce,$49157,Suitland,Maryland,Computer Scientist,Statistics ,AI 
Interdisciplinary Computer Engineer / Computer Scientist,Legislative Branch,$10840,Washington,District of Columbia,Computer Scientist,"ETL, Statistics ","Cloud, HTML, Scala "
Public Notice for Computer Scientist Cybersecurity Positions,Department of Transportation,$66829,No location provided,,Computer Scientist, , 
Public Notice for Computer Scientist Cybersecurity Positions,Department of Transportation,$56205,No location provided,,Computer Scientist, , 
"Computer Scientist, AST, Computer Research and Development (Direct Hire)",National Aeronautics and Space Administration,$80743,Cleveland,Ohio,Computer Scientist,"Statistics, API ",HTML 
INTERDISCIPLINARY COMPUTER SCIENTIST/COMPUTER ENGINEER/ELECTRONICS ENGINEER,Department of the Air Force,$10260,Hanscom AFB,Massachusetts,Computer Scientist, ,AI 
"Computer Engineer, Computer Scientist, Electrical Engineer, or Electronics Engineer",Other Agencies and Independent Organizations,$12253,Rockville,Maryland,Computer Scientist,Statistics ,Excel 
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,$87198,Patuxent River,Maryland,Computer Scientist,"Data Analysis, Statistics ", 
"Computer Engineer, Computer Scientist, Electrical Engineer, or Electronics Engineer",Other Agencies and Independent Organizations,$12253,Rockville,Maryland,Computer Scientist,Statistics ,Excel 
COMPUTER SCIENTIST/ENGINEER,Department of the Air Force,$77488,Eglin AFB,Florida,Computer Scientist,Statistics ,AI 
INTERDISCIPLINARY COMPUTER SCIENTIST/COMPUTER ENGINEER/ELECTRONICS ENGINEER,Department of the Air Force,$10260,Hanscom AFB,Massachusetts,Computer Scientist, ,AI 
Interdisciplinary Computer Engineer / Computer Scientist,Legislative Branch,$10840,Washington,District of Columbia,Computer Scientist,"ETL, Statistics ","Cloud, HTML, Scala "
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,$87198,Patuxent River,Maryland,Computer Scientist,"Data Analysis, Statistics ", 
"Computer Engineer, Computer Scientist, Electrical Engineer, or Electronics Engineer",Other Agencies and Independent Organizations,$12253,Rockville,Maryland,Computer Scientist,Statistics ,Excel 
COMPUTER SCIENTIST/ENGINEER,Department of the Air Force,$77488,Eglin AFB,Florida,Computer Scientist,Statistics ,AI 
INTERDISCIPLINARY COMPUTER SCIENTIST/COMPUTER ENGINEER/ELECTRONICS ENGINEER,Department of the Air Force,$10260,Hanscom AFB,Massachusetts,Computer Scientist, ,AI 
Interdisciplinary Computer Engineer / Computer Scientist,Legislative Branch,$10840,Washington,District of Columbia,Computer Scientist,"ETL, Statistics ","Cloud, HTML, Scala "
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,$87198,Patuxent River,Maryland,Computer Scientist,"Data Analysis, Statistics ", 
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,$87198,Patuxent River,Maryland,Computer Scientist,"Data Analysis, Statistics ", 
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,$87198,Patuxent River,Maryland,Computer Scientist,"Data Analysis, Statistics ", 
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,$87198,Patuxent River,Maryland,Computer Scientist,"Data Analysis, Statistics ", 
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,$87198,Patuxent River,Maryland,Computer Scientist,"Data Analysis, Statistics ", 
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,$87198,Patuxent River,Maryland,Computer Scientist,"Data Analysis, Statistics ", 
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,$87198,Patuxent River,Maryland,Computer Scientist,"Data Analysis, Statistics ", 
IT Specialist (DATAMGT) (Data and Reporting Analyst),Department of the Treasury,$92143,No location provided,,IT Specialist,Data Analysis , 
IT Specialist (DATAMGT),Department of Veterans Affairs,$46083,No location provided,,IT Specialist,Statistics ,HTML 
IT Specialist (DATAMGT),Department of the Treasury,$11961,Washington,District of Columbia,IT Specialist, ,"Python, Cloud, Excel, Java  "
IT Specialist (DATAMGT),Department of the Treasury,$11961,Washington,District of Columbia,IT Specialist, ,"Python, Cloud, Java  "
IT SPECIALIST (DATAMGT) T5,Department of the Army,$55355,Phoenix,Arizona,IT Specialist, , 
IT SPECIALIST( DATAMGT),Department of the Air Force,$87198,Andrews AFB,Maryland,IT Specialist, ,AI 
IT Specialist (DATAMGT),Department of the Army,$10369,Fort Meade,Maryland,IT Specialist, ,AI 
IT SPECIALIST (DATAMGT) (T32),Department of the Army,$65792,Montgomery,Alabama,IT Specialist,"Data Visualization, Statistics ","Cloud, Scala "
IT Specialist (APPSW/DATAMGMT),Other Agencies and Independent Organizations,$87198,Arlington,Virginia,IT Specialist, ,"SQL, HTML "
IT SPECIALIST (NETWORK/DATAMGT),Department of the Army,$45393,No location provided,,IT Specialist,Data Mining ,HTML 
IT Specialist (Data Management),Department of Veterans Affairs,$66829,No location provided,,IT Specialist,Data Mining , 
IT Specialist (Data Management),Department of Transportation,$83458,No location provided,,IT Specialist, ,AI 
IT SPECIALIST (DATA MANAGEMENT),Department of Defense,$10369,Bethesda,Maryland,IT Specialist,"Statistics, API ","Spark, Cloud, Hadoop "
IT Specialist (Data Management),Legislative Branch,$10369,District of Columbia,District of Columbia,IT Specialist, , 
IT Specialist (Data Management),Department of the Army,$98151,Key West,Florida,IT Specialist, ,"SQL, JavaScript, CSS "
Supervisory IT Specialist (DATAMGT),Department of Commerce,$10369,Alexandria,Virginia,IT Specialist, , 
Supervisory IT Specialist (DATAMGT),Department of Commerce,$10369,Alexandria,Virginia,IT Specialist, , 
SUPERVISORY IT SPECIALIST (DATAMGT/APPSW),Department of the Air Force,$13164,Wright-Patterson AFB,Ohio,IT Specialist,"Data Analysis, Statistics ","Cloud, AI "
Lead IT Specialist (Network/Data Management),Other Agencies and Independent Organizations,$12253,Washington,District of Columbia,IT Specialist, , 
"Senior IT Specialist, (DATAMGT) CG-2210-15 TEMP PROM NTE 1 YEAR",Other Agencies and Independent Organizations,$12962,Washington,District of Columbia,IT Specialist, ,"Azure, Cloud "
IT Specialist (Helpdesk Analyst) NF3,Department of the Navy,$35000,Quantico,Virginia,IT Specialist, ,Scala 
IT Specialist (DATAMGT) (Data and Reporting Analyst),Department of the Treasury,$92143,No location provided,,IT Specialist,Data Analysis , 
IT Specialist (DATAMGT),Department of Veterans Affairs,$46083,No location provided,,IT Specialist,Statistics ,HTML 
IT Specialist (DATAMGT),Department of the Treasury,$11961,Washington,District of Columbia,IT Specialist, ,"Python, Cloud, Excel, Java  "
IT Specialist (DATAMGT),Department of the Treasury,$11961,Washington,District of Columbia,IT Specialist, ,"Python, Cloud, Java  "
IT SPECIALIST (DATAMGT) T5,Department of the Army,$55355,Phoenix,Arizona,IT Specialist, , 
IT SPECIALIST( DATAMGT),Department of the Air Force,$87198,Andrews AFB,Maryland,IT Specialist, ,AI 
IT Specialist (DATAMGT),Department of the Army,$10369,Fort Meade,Maryland,IT Specialist, ,AI 
IT SPECIALIST (DATAMGT) (T32),Department of the Army,$65792,Montgomery,Alabama,IT Specialist,"Data Visualization, Statistics ","Cloud, Scala "
IT Specialist (APPSW/DATAMGMT),Other Agencies and Independent Organizations,$87198,Arlington,Virginia,IT Specialist, ,"SQL, HTML "
IT SPECIALIST (NETWORK/DATAMGT),Department of the Army,$45393,No location provided,,IT Specialist,Data Mining ,HTML 
IT Specialist (Data Management),Department of Veterans Affairs,$66829,No location provided,,IT Specialist,Data Mining , 
IT Specialist (Data Management),Department of Transportation,$83458,No location provided,,IT Specialist, ,AI 
IT SPECIALIST (DATA MANAGEMENT),Department of Defense,$10369,Bethesda,Maryland,IT Specialist,"Statistics, API ","Spark, Cloud, Hadoop "
IT Specialist (Data Management),Legislative Branch,$10369,District of Columbia,District of Columbia,IT Specialist, , 
IT Specialist (Data Management),Department of the Army,$98151,Key West,Florida,IT Specialist, ,"SQL, JavaScript, CSS "
Supervisory IT Specialist (DATAMGT),Department of Commerce,$10369,Alexandria,Virginia,IT Specialist, , 
Supervisory IT Specialist (DATAMGT),Department of Commerce,$10369,Alexandria,Virginia,IT Specialist, , 
SUPERVISORY IT SPECIALIST (DATAMGT/APPSW),Department of the Air Force,$13164,Wright-Patterson AFB,Ohio,IT Specialist,"Data Analysis, Statistics ","Cloud, AI "
Lead IT Specialist (Network/Data Management),Other Agencies and Independent Organizations,$12253,Washington,District of Columbia,IT Specialist, , 
"Senior IT Specialist, (DATAMGT) CG-2210-15 TEMP PROM NTE 1 YEAR",Other Agencies and Independent Organizations,$12962,Washington,District of Columbia,IT Specialist, ,"Azure, Cloud "
IT Specialist (DATAMGT) (Data and Reporting Analyst),Department of the Treasury,$92143,No location provided,,IT Specialist,Data Analysis , 
IT Specialist (DATAMGT),Department of Veterans Affairs,$46083,No location provided,,IT Specialist,Statistics ,HTML 
IT Specialist (DATAMGT),Department of the Treasury,$11961,Washington,District of Columbia,IT Specialist, ,"Python, Cloud, Excel, Java  "
IT Specialist (DATAMGT),Department of the Treasury,$11961,Washington,District of Columbia,IT Specialist, ,"Python, Cloud, Java  "
IT SPECIALIST (DATAMGT) T5,Department of the Army,$55355,Phoenix,Arizona,IT Specialist, , 
IT SPECIALIST( DATAMGT),Department of the Air Force,$87198,Andrews AFB,Maryland,IT Specialist, ,AI 
IT Specialist (DATAMGT),Department of the Army,$10369,Fort Meade,Maryland,IT Specialist, ,AI 
IT SPECIALIST (DATAMGT) (T32),Department of the Army,$65792,Montgomery,Alabama,IT Specialist,"Data Visualization, Statistics ","Cloud, Scala "
IT Specialist (APPSW/DATAMGMT),Other Agencies and Independent Organizations,$87198,Arlington,Virginia,IT Specialist, ,"SQL, HTML "
IT SPECIALIST (NETWORK/DATAMGT),Department of the Army,$45393,No location provided,,IT Specialist,Data Mining ,HTML 
IT Specialist (Data Management),Department of Veterans Affairs,$66829,No location provided,,IT Specialist,Data Mining , 
IT Specialist (Data Management),Department of Transportation,$83458,No location provided,,IT Specialist, ,AI 
IT SPECIALIST (DATA MANAGEMENT),Department of Defense,$10369,Bethesda,Maryland,IT Specialist,"Statistics, API ","Spark, Cloud, Hadoop "
IT Specialist (Data Management),Legislative Branch,$10369,District of Columbia,District of Columbia,IT Specialist, , 
IT Specialist (Data Management),Department of the Army,$98151,Key West,Florida,IT Specialist, ,"SQL, JavaScript, CSS "
Supervisory IT Specialist (DATAMGT),Department of Commerce,$10369,Alexandria,Virginia,IT Specialist, , 
Supervisory IT Specialist (DATAMGT),Department of Commerce,$10369,Alexandria,Virginia,IT Specialist, , 
SUPERVISORY IT SPECIALIST (DATAMGT/APPSW),Department of the Air Force,$13164,Wright-Patterson AFB,Ohio,IT Specialist,"Data Analysis, Statistics ","Cloud, AI "
Lead IT Specialist (Network/Data Management),Other Agencies and Independent Organizations,$12253,Washington,District of Columbia,IT Specialist, , 
"Senior IT Specialist, (DATAMGT) CG-2210-15 TEMP PROM NTE 1 YEAR",Other Agencies and Independent Organizations,$12962,Washington,District of Columbia,IT Specialist, ,"Azure, Cloud "
IT Specialist (DATAMGT) (Data and Reporting Analyst),Department of the Treasury,$92143,No location provided,,IT Specialist,Data Analysis , 
IT Specialist (DATAMGT),Department of Veterans Affairs,$46083,No location provided,,IT Specialist,Statistics ,HTML 
IT Specialist (DATAMGT),Department of the Treasury,$11961,Washington,District of Columbia,IT Specialist, ,"Python, Cloud, Excel, Java  "
IT Specialist (DATAMGT),Department of the Treasury,$11961,Washington,District of Columbia,IT Specialist, ,"Python, Cloud, Java  "
IT SPECIALIST (DATAMGT) T5,Department of the Army,$55355,Phoenix,Arizona,IT Specialist, , 
IT SPECIALIST( DATAMGT),Department of the Air Force,$87198,Andrews AFB,Maryland,IT Specialist, ,AI 
IT Specialist (DATAMGT),Department of the Army,$10369,Fort Meade,Maryland,IT Specialist, ,AI 
IT SPECIALIST (DATAMGT) (T32),Department of the Army,$65792,Montgomery,Alabama,IT Specialist,"Data Visualization, Statistics ","Cloud, Scala "
IT Specialist (APPSW/DATAMGMT),Other Agencies and Independent Organizations,$87198,Arlington,Virginia,IT Specialist, ,"SQL, HTML "
IT SPECIALIST (NETWORK/DATAMGT),Department of the Army,$45393,No location provided,,IT Specialist,Data Mining ,HTML 
IT Specialist (Data Management),Department of Veterans Affairs,$66829,No location provided,,IT Specialist,Data Mining , 
IT Specialist (Data Management),Department of Transportation,$83458,No location provided,,IT Specialist, ,AI 
IT SPECIALIST (DATA MANAGEMENT),Department of Defense,$10369,Bethesda,Maryland,IT Specialist,"Statistics, API ","Spark, Cloud, Hadoop "
IT Specialist (Data Management),Legislative Branch,$10369,District of Columbia,District of Columbia,IT Specialist, , 
IT Specialist (Data Management),Department of the Army,$98151,Key West,Florida,IT Specialist, ,"SQL, JavaScript, CSS "
Supervisory IT Specialist (DATAMGT),Department of Commerce,$10369,Alexandria,Virginia,IT Specialist, , 
Supervisory IT Specialist (DATAMGT),Department of Commerce,$10369,Alexandria,Virginia,IT Specialist, , 
SUPERVISORY IT SPECIALIST (DATAMGT/APPSW),Department of the Air Force,$13164,Wright-Patterson AFB,Ohio,IT Specialist,"Data Analysis, Statistics ","Cloud, AI "
Lead IT Specialist (Network/Data Management),Other Agencies and Independent Organizations,$12253,Washington,District of Columbia,IT Specialist, , 
IT Specialist (Policy and Planning/Enterprise Architecture),Department of the Army,$12253,Pentagon,Virginia,IT Specialist, , 
"Senior IT Specialist, (DATAMGT) CG-2210-15 TEMP PROM NTE 1 YEAR",Other Agencies and Independent Organizations,$12962,Washington,District of Columbia,IT Specialist, ,"Azure, Cloud "
Supv IT Specialist (Enterprise Architecture/Systems Analysis,Department of the Army,$92143,Fort Gordon,Georgia,IT Specialist, , 
IT SPECIALIST (ENTERPRISE ARCHITECTURE/INFOSEC),Department of Defense,$12253,Hanover,Maryland,IT Specialist, ,Cloud 
IT Specialist (Application Software),Department of Veterans Affairs,$79468,No location provided,,IT Specialist, , 
IT Specialist (Application Software),Department of Transportation,$83458,No location provided,,IT Specialist, ,"Scala, AI "
IT Specialist (DATAMGT) (Data and Reporting Analyst),Department of the Treasury,$92143,No location provided,,IT Specialist,Data Analysis , 
IT Specialist (DATAMGT),Department of Veterans Affairs,$46083,No location provided,,IT Specialist,Statistics ,HTML 
IT Specialist (DATAMGT),Department of the Treasury,$11961,Washington,District of Columbia,IT Specialist, ,"Python, Cloud, Excel, Java  "
IT Specialist (DATAMGT),Department of the Treasury,$11961,Washington,District of Columbia,IT Specialist, ,"Python, Cloud, Java  "
IT SPECIALIST (DATAMGT) T5,Department of the Army,$55355,Phoenix,Arizona,IT Specialist, , 
IT SPECIALIST( DATAMGT),Department of the Air Force,$87198,Andrews AFB,Maryland,IT Specialist, ,AI 
IT Specialist (DATAMGT),Department of the Army,$10369,Fort Meade,Maryland,IT Specialist, ,AI 
IT SPECIALIST (DATAMGT) (T32),Department of the Army,$65792,Montgomery,Alabama,IT Specialist,"Data Visualization, Statistics ","Cloud, Scala "
IT Specialist (APPSW/DATAMGMT),Other Agencies and Independent Organizations,$87198,Arlington,Virginia,IT Specialist, ,"SQL, HTML "
IT SPECIALIST (NETWORK/DATAMGT),Department of the Army,$45393,No location provided,,IT Specialist,Data Mining ,HTML 
IT Specialist (Data Management),Department of Veterans Affairs,$66829,No location provided,,IT Specialist,Data Mining , 
IT Specialist (Data Management),Department of Transportation,$83458,No location provided,,IT Specialist, ,AI 
IT SPECIALIST (DATA MANAGEMENT),Department of Defense,$10369,Bethesda,Maryland,IT Specialist,"Statistics, API ","Spark, Cloud, Hadoop "
IT Specialist (Data Management),Legislative Branch,$10369,District of Columbia,District of Columbia,IT Specialist, , 
IT Specialist (Data Management),Department of the Army,$98151,Key West,Florida,IT Specialist, ,"SQL, JavaScript, CSS "
"IT Specialist (Application Software), GS-2210-13, Census-DOC-WKD",Department of Commerce,$10369,Suitland,Maryland,IT Specialist, ,AI 
Supervisory IT Specialist (DATAMGT),Department of Commerce,$10369,Alexandria,Virginia,IT Specialist, , 
Supervisory IT Specialist (DATAMGT),Department of Commerce,$10369,Alexandria,Virginia,IT Specialist, , 
SUPERVISORY IT SPECIALIST (DATAMGT/APPSW),Department of the Air Force,$13164,Wright-Patterson AFB,Ohio,IT Specialist,"Data Analysis, Statistics ","Cloud, AI "
Lead IT Specialist (Network/Data Management),Other Agencies and Independent Organizations,$12253,Washington,District of Columbia,IT Specialist, , 
"Senior IT Specialist, (DATAMGT) CG-2210-15 TEMP PROM NTE 1 YEAR",Other Agencies and Independent Organizations,$12962,Washington,District of Columbia,IT Specialist, ,"Azure, Cloud "
IT Specialist (Helpdesk Analyst) NF3,Department of the Navy,$35000,Quantico,Virginia,IT Specialist, ,Scala 
IT Specialist (DATAMGT) (Data and Reporting Analyst),Department of the Treasury,$92143,No location provided,,IT Specialist,Data Analysis , 
IT Specialist (Helpdesk Analyst) NF3,Department of the Navy,$35000,Quantico,Virginia,IT Specialist, ,Scala 
IT Specialist (DATAMGT) (Data and Reporting Analyst),Department of the Treasury,$92143,No location provided,,IT Specialist,Data Analysis , 
IT Specialist (Systems Analysis),Department of Veterans Affairs,$66829,No location provided,,IT Specialist, , 
IT Specialist (Systems Analysis),Department of Veterans Affairs,$66829,No location provided,,IT Specialist, , 
IT Specialist (SYSTEMS ANALYSIS),Department of Defense,$92143,No location provided,,IT Specialist, , 
IT SPECIALIST (Operating Systems),Department of the Air Force,$65792,Offutt AFB,Nebraska,IT Specialist,Statistics ,AI 
IT SPECIALIST(Operating Systems),Department of the Navy,$92143,Naval Air Station Pensacola ,Florida,IT Specialist, ,Scala 
IT SPECIALIST (SYSTEMS ADMINISTRATION),Department of the Air Force,$77488,MacDill AFB,Florida,IT Specialist, ,AI 
