Position Title,Company Name,Salary,city,State Name,Job Title
COMPUTER SCIENTIST,Department of the Army,10647.0,Picatinny Arsenal,New Jersey,
COMPUTER SCIENTIST,Department of the Air Force,10888.0,Eglin AFB,Florida,
COMPUTER SCIENTIST/ENGINEER,Department of the Air Force,77488.0,Eglin AFB,Florida,
Student Trainee (Computer Scientist) (PATHWAYS),Department of Commerce,25093.0,Boulder,Colorado,
"Computer Scientist, GS-1550-07/09/11/12, Census-MP-WKD",Department of Commerce,49157.0,Suitland,Maryland,
"Computer Scientist, GS-1550-07/09/11/12, Census-DE-WKD",Department of Commerce,49157.0,Suitland,Maryland,
Interdisciplinary Computer Engineer / Computer Scientist,Legislative Branch,10840.0,Washington,District of Columbia,
Public Notice for Computer Scientist Cybersecurity Positions,Department of Transportation,66829.0,No location provided,,
Public Notice for Computer Scientist Cybersecurity Positions,Department of Transportation,56205.0,No location provided,,
"Computer Scientist, AST, Computer Research and Development (Direct Hire)",National Aeronautics and Space Administration,80743.0,Cleveland,Ohio,
INTERDISCIPLINARY COMPUTER SCIENTIST/COMPUTER ENGINEER/ELECTRONICS ENGINEER,Department of the Air Force,10260.0,Hanscom AFB,Massachusetts,
"Computer Engineer, Computer Scientist, Electrical Engineer, or Electronics Engineer",Other Agencies and Independent Organizations,12253.0,Rockville,Maryland,
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,87198.0,Patuxent River,Maryland,
"Computer Engineer, Computer Scientist, Electrical Engineer, or Electronics Engineer",Other Agencies and Independent Organizations,12253.0,Rockville,Maryland,
COMPUTER SCIENTIST/ENGINEER,Department of the Air Force,77488.0,Eglin AFB,Florida,
INTERDISCIPLINARY COMPUTER SCIENTIST/COMPUTER ENGINEER/ELECTRONICS ENGINEER,Department of the Air Force,10260.0,Hanscom AFB,Massachusetts,
Interdisciplinary Computer Engineer / Computer Scientist,Legislative Branch,10840.0,Washington,District of Columbia,
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,87198.0,Patuxent River,Maryland,
"Computer Engineer, Computer Scientist, Electrical Engineer, or Electronics Engineer",Other Agencies and Independent Organizations,12253.0,Rockville,Maryland,
COMPUTER SCIENTIST/ENGINEER,Department of the Air Force,77488.0,Eglin AFB,Florida,
INTERDISCIPLINARY COMPUTER SCIENTIST/COMPUTER ENGINEER/ELECTRONICS ENGINEER,Department of the Air Force,10260.0,Hanscom AFB,Massachusetts,
Interdisciplinary Computer Engineer / Computer Scientist,Legislative Branch,10840.0,Washington,District of Columbia,
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,87198.0,Patuxent River,Maryland,
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,87198.0,Patuxent River,Maryland,
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,87198.0,Patuxent River,Maryland,
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,87198.0,Patuxent River,Maryland,
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,87198.0,Patuxent River,Maryland,
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,87198.0,Patuxent River,Maryland,
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,87198.0,Patuxent River,Maryland,
IT Specialist (DATAMGT) (Data and Reporting Analyst),Department of the Treasury,92143.0,No location provided,,IT Specialist
IT Specialist (DATAMGT),Department of Veterans Affairs,46083.0,No location provided,,IT Specialist
IT Specialist (DATAMGT),Department of the Treasury,11961.0,Washington,District of Columbia,IT Specialist
IT Specialist (DATAMGT),Department of the Treasury,11961.0,Washington,District of Columbia,IT Specialist
IT SPECIALIST (DATAMGT) T5,Department of the Army,55355.0,Phoenix,Arizona,IT Specialist
IT SPECIALIST( DATAMGT),Department of the Air Force,87198.0,Andrews AFB,Maryland,IT Specialist
IT Specialist (DATAMGT),Department of the Army,10369.0,Fort Meade,Maryland,IT Specialist
IT SPECIALIST (DATAMGT) (T32),Department of the Army,65792.0,Montgomery,Alabama,IT Specialist
IT Specialist (APPSW/DATAMGMT),Other Agencies and Independent Organizations,87198.0,Arlington,Virginia,IT Specialist
IT SPECIALIST (NETWORK/DATAMGT),Department of the Army,45393.0,No location provided,,IT Specialist
IT Specialist (Data Management),Department of Veterans Affairs,66829.0,No location provided,,IT Specialist
IT Specialist (Data Management),Department of Transportation,83458.0,No location provided,,IT Specialist
IT SPECIALIST (DATA MANAGEMENT),Department of Defense,10369.0,Bethesda,Maryland,IT Specialist
IT Specialist (Data Management),Legislative Branch,10369.0,District of Columbia,District of Columbia,IT Specialist
IT Specialist (Data Management),Department of the Army,98151.0,Key West,Florida,IT Specialist
Supervisory IT Specialist (DATAMGT),Department of Commerce,10369.0,Alexandria,Virginia,IT Specialist
Supervisory IT Specialist (DATAMGT),Department of Commerce,10369.0,Alexandria,Virginia,IT Specialist
SUPERVISORY IT SPECIALIST (DATAMGT/APPSW),Department of the Air Force,13164.0,Wright-Patterson AFB,Ohio,IT Specialist
Lead IT Specialist (Network/Data Management),Other Agencies and Independent Organizations,12253.0,Washington,District of Columbia,IT Specialist
"Senior IT Specialist, (DATAMGT) CG-2210-15 TEMP PROM NTE 1 YEAR",Other Agencies and Independent Organizations,12962.0,Washington,District of Columbia,IT Specialist
IT Specialist (Helpdesk Analyst) NF3,Department of the Navy,35000.0,Quantico,Virginia,IT Specialist
IT Specialist (DATAMGT) (Data and Reporting Analyst),Department of the Treasury,92143.0,No location provided,,IT Specialist
IT Specialist (DATAMGT),Department of Veterans Affairs,46083.0,No location provided,,IT Specialist
IT Specialist (DATAMGT),Department of the Treasury,11961.0,Washington,District of Columbia,IT Specialist
IT Specialist (DATAMGT),Department of the Treasury,11961.0,Washington,District of Columbia,IT Specialist
IT SPECIALIST (DATAMGT) T5,Department of the Army,55355.0,Phoenix,Arizona,IT Specialist
IT SPECIALIST( DATAMGT),Department of the Air Force,87198.0,Andrews AFB,Maryland,IT Specialist
IT Specialist (DATAMGT),Department of the Army,10369.0,Fort Meade,Maryland,IT Specialist
IT SPECIALIST (DATAMGT) (T32),Department of the Army,65792.0,Montgomery,Alabama,IT Specialist
IT Specialist (APPSW/DATAMGMT),Other Agencies and Independent Organizations,87198.0,Arlington,Virginia,IT Specialist
IT SPECIALIST (NETWORK/DATAMGT),Department of the Army,45393.0,No location provided,,IT Specialist
IT Specialist (Data Management),Department of Veterans Affairs,66829.0,No location provided,,IT Specialist
IT Specialist (Data Management),Department of Transportation,83458.0,No location provided,,IT Specialist
IT SPECIALIST (DATA MANAGEMENT),Department of Defense,10369.0,Bethesda,Maryland,IT Specialist
IT Specialist (Data Management),Legislative Branch,10369.0,District of Columbia,District of Columbia,IT Specialist
IT Specialist (Data Management),Department of the Army,98151.0,Key West,Florida,IT Specialist
Supervisory IT Specialist (DATAMGT),Department of Commerce,10369.0,Alexandria,Virginia,IT Specialist
Supervisory IT Specialist (DATAMGT),Department of Commerce,10369.0,Alexandria,Virginia,IT Specialist
SUPERVISORY IT SPECIALIST (DATAMGT/APPSW),Department of the Air Force,13164.0,Wright-Patterson AFB,Ohio,IT Specialist
Lead IT Specialist (Network/Data Management),Other Agencies and Independent Organizations,12253.0,Washington,District of Columbia,IT Specialist
"Senior IT Specialist, (DATAMGT) CG-2210-15 TEMP PROM NTE 1 YEAR",Other Agencies and Independent Organizations,12962.0,Washington,District of Columbia,IT Specialist
IT Specialist (DATAMGT) (Data and Reporting Analyst),Department of the Treasury,92143.0,No location provided,,IT Specialist
IT Specialist (DATAMGT),Department of Veterans Affairs,46083.0,No location provided,,IT Specialist
IT Specialist (DATAMGT),Department of the Treasury,11961.0,Washington,District of Columbia,IT Specialist
IT Specialist (DATAMGT),Department of the Treasury,11961.0,Washington,District of Columbia,IT Specialist
IT SPECIALIST (DATAMGT) T5,Department of the Army,55355.0,Phoenix,Arizona,IT Specialist
IT SPECIALIST( DATAMGT),Department of the Air Force,87198.0,Andrews AFB,Maryland,IT Specialist
IT Specialist (DATAMGT),Department of the Army,10369.0,Fort Meade,Maryland,IT Specialist
IT SPECIALIST (DATAMGT) (T32),Department of the Army,65792.0,Montgomery,Alabama,IT Specialist
IT Specialist (APPSW/DATAMGMT),Other Agencies and Independent Organizations,87198.0,Arlington,Virginia,IT Specialist
IT SPECIALIST (NETWORK/DATAMGT),Department of the Army,45393.0,No location provided,,IT Specialist
IT Specialist (Data Management),Department of Veterans Affairs,66829.0,No location provided,,IT Specialist
IT Specialist (Data Management),Department of Transportation,83458.0,No location provided,,IT Specialist
IT SPECIALIST (DATA MANAGEMENT),Department of Defense,10369.0,Bethesda,Maryland,IT Specialist
IT Specialist (Data Management),Legislative Branch,10369.0,District of Columbia,District of Columbia,IT Specialist
IT Specialist (Data Management),Department of the Army,98151.0,Key West,Florida,IT Specialist
Supervisory IT Specialist (DATAMGT),Department of Commerce,10369.0,Alexandria,Virginia,IT Specialist
Supervisory IT Specialist (DATAMGT),Department of Commerce,10369.0,Alexandria,Virginia,IT Specialist
SUPERVISORY IT SPECIALIST (DATAMGT/APPSW),Department of the Air Force,13164.0,Wright-Patterson AFB,Ohio,IT Specialist
Lead IT Specialist (Network/Data Management),Other Agencies and Independent Organizations,12253.0,Washington,District of Columbia,IT Specialist
"Senior IT Specialist, (DATAMGT) CG-2210-15 TEMP PROM NTE 1 YEAR",Other Agencies and Independent Organizations,12962.0,Washington,District of Columbia,IT Specialist
IT Specialist (DATAMGT) (Data and Reporting Analyst),Department of the Treasury,92143.0,No location provided,,IT Specialist
IT Specialist (DATAMGT),Department of Veterans Affairs,46083.0,No location provided,,IT Specialist
IT Specialist (DATAMGT),Department of the Treasury,11961.0,Washington,District of Columbia,IT Specialist
IT Specialist (DATAMGT),Department of the Treasury,11961.0,Washington,District of Columbia,IT Specialist
IT SPECIALIST (DATAMGT) T5,Department of the Army,55355.0,Phoenix,Arizona,IT Specialist
IT SPECIALIST( DATAMGT),Department of the Air Force,87198.0,Andrews AFB,Maryland,IT Specialist
IT Specialist (DATAMGT),Department of the Army,10369.0,Fort Meade,Maryland,IT Specialist
IT SPECIALIST (DATAMGT) (T32),Department of the Army,65792.0,Montgomery,Alabama,IT Specialist
IT Specialist (APPSW/DATAMGMT),Other Agencies and Independent Organizations,87198.0,Arlington,Virginia,IT Specialist
IT SPECIALIST (NETWORK/DATAMGT),Department of the Army,45393.0,No location provided,,IT Specialist
IT Specialist (Data Management),Department of Veterans Affairs,66829.0,No location provided,,IT Specialist
IT Specialist (Data Management),Department of Transportation,83458.0,No location provided,,IT Specialist
IT SPECIALIST (DATA MANAGEMENT),Department of Defense,10369.0,Bethesda,Maryland,IT Specialist
IT Specialist (Data Management),Legislative Branch,10369.0,District of Columbia,District of Columbia,IT Specialist
IT Specialist (Data Management),Department of the Army,98151.0,Key West,Florida,IT Specialist
Supervisory IT Specialist (DATAMGT),Department of Commerce,10369.0,Alexandria,Virginia,IT Specialist
Supervisory IT Specialist (DATAMGT),Department of Commerce,10369.0,Alexandria,Virginia,IT Specialist
SUPERVISORY IT SPECIALIST (DATAMGT/APPSW),Department of the Air Force,13164.0,Wright-Patterson AFB,Ohio,IT Specialist
Lead IT Specialist (Network/Data Management),Other Agencies and Independent Organizations,12253.0,Washington,District of Columbia,IT Specialist
IT Specialist (Policy and Planning/Enterprise Architecture),Department of the Army,12253.0,Pentagon,Virginia,IT Specialist
"Senior IT Specialist, (DATAMGT) CG-2210-15 TEMP PROM NTE 1 YEAR",Other Agencies and Independent Organizations,12962.0,Washington,District of Columbia,IT Specialist
Supv IT Specialist (Enterprise Architecture/Systems Analysis,Department of the Army,92143.0,Fort Gordon,Georgia,IT Specialist
IT SPECIALIST (ENTERPRISE ARCHITECTURE/INFOSEC),Department of Defense,12253.0,Hanover,Maryland,IT Specialist
IT Specialist (Application Software),Department of Veterans Affairs,79468.0,No location provided,,IT Specialist
IT Specialist (Application Software),Department of Transportation,83458.0,No location provided,,IT Specialist
IT Specialist (DATAMGT) (Data and Reporting Analyst),Department of the Treasury,92143.0,No location provided,,IT Specialist
IT Specialist (DATAMGT),Department of Veterans Affairs,46083.0,No location provided,,IT Specialist
IT Specialist (DATAMGT),Department of the Treasury,11961.0,Washington,District of Columbia,IT Specialist
IT Specialist (DATAMGT),Department of the Treasury,11961.0,Washington,District of Columbia,IT Specialist
IT SPECIALIST (DATAMGT) T5,Department of the Army,55355.0,Phoenix,Arizona,IT Specialist
IT SPECIALIST( DATAMGT),Department of the Air Force,87198.0,Andrews AFB,Maryland,IT Specialist
IT Specialist (DATAMGT),Department of the Army,10369.0,Fort Meade,Maryland,IT Specialist
IT SPECIALIST (DATAMGT) (T32),Department of the Army,65792.0,Montgomery,Alabama,IT Specialist
IT Specialist (APPSW/DATAMGMT),Other Agencies and Independent Organizations,87198.0,Arlington,Virginia,IT Specialist
IT SPECIALIST (NETWORK/DATAMGT),Department of the Army,45393.0,No location provided,,IT Specialist
IT Specialist (Data Management),Department of Veterans Affairs,66829.0,No location provided,,IT Specialist
IT Specialist (Data Management),Department of Transportation,83458.0,No location provided,,IT Specialist
IT SPECIALIST (DATA MANAGEMENT),Department of Defense,10369.0,Bethesda,Maryland,IT Specialist
IT Specialist (Data Management),Legislative Branch,10369.0,District of Columbia,District of Columbia,IT Specialist
IT Specialist (Data Management),Department of the Army,98151.0,Key West,Florida,IT Specialist
"IT Specialist (Application Software), GS-2210-13, Census-DOC-WKD",Department of Commerce,10369.0,Suitland,Maryland,IT Specialist
Supervisory IT Specialist (DATAMGT),Department of Commerce,10369.0,Alexandria,Virginia,IT Specialist
Supervisory IT Specialist (DATAMGT),Department of Commerce,10369.0,Alexandria,Virginia,IT Specialist
SUPERVISORY IT SPECIALIST (DATAMGT/APPSW),Department of the Air Force,13164.0,Wright-Patterson AFB,Ohio,IT Specialist
Lead IT Specialist (Network/Data Management),Other Agencies and Independent Organizations,12253.0,Washington,District of Columbia,IT Specialist
"Senior IT Specialist, (DATAMGT) CG-2210-15 TEMP PROM NTE 1 YEAR",Other Agencies and Independent Organizations,12962.0,Washington,District of Columbia,IT Specialist
IT Specialist (Helpdesk Analyst) NF3,Department of the Navy,35000.0,Quantico,Virginia,IT Specialist
IT Specialist (DATAMGT) (Data and Reporting Analyst),Department of the Treasury,92143.0,No location provided,,IT Specialist
IT Specialist (Helpdesk Analyst) NF3,Department of the Navy,35000.0,Quantico,Virginia,IT Specialist
IT Specialist (DATAMGT) (Data and Reporting Analyst),Department of the Treasury,92143.0,No location provided,,IT Specialist
IT Specialist (Systems Analysis),Department of Veterans Affairs,66829.0,No location provided,,IT Specialist
IT Specialist (Systems Analysis),Department of Veterans Affairs,66829.0,No location provided,,IT Specialist
IT Specialist (SYSTEMS ANALYSIS),Department of Defense,92143.0,No location provided,,IT Specialist
IT SPECIALIST (Operating Systems),Department of the Air Force,65792.0,Offutt AFB,Nebraska,IT Specialist
IT SPECIALIST(Operating Systems),Department of the Navy,92143.0,Naval Air Station Pensacola ,Florida,IT Specialist
IT SPECIALIST (SYSTEMS ADMINISTRATION),Department of the Air Force,77488.0,MacDill AFB,Florida,IT Specialist
IT SPECIALIST (SYSTEMS ADMINISTRATION) (T32),Department of the Army,59908.0,Montgomery,Alabama,IT Specialist
"IT Specialist (Systems Analysis), ZP-2210-2/3 (MAP)",Department of Commerce,60129.0,Silver Spring,Maryland,IT Specialist
"IT Specialist (Systems Analysis), ZP-2210-2/3 (DE/CR)",Department of Commerce,60129.0,Silver Spring,Maryland,IT Specialist
IT Specialist (Network SVC/Systems Admin),Department of Veterans Affairs,66829.0,No location provided,,IT Specialist
Supv IT Specialist (Enterprise Architecture/Systems Analysis,Department of the Army,92143.0,Fort Gordon,Georgia,IT Specialist
IT Specialist (Information Systems Security Officer - ISSO) - Direct Hire,Other Agencies and Independent Organizations,11751.0,Arlington,Virginia,IT Specialist
IT Specialist (Helpdesk Analyst) NF3,Department of the Navy,35000.0,Quantico,Virginia,IT Specialist
IT Specialist (DATAMGT) (Data and Reporting Analyst),Department of the Treasury,92143.0,No location provided,,IT Specialist
IT Specialist (Helpdesk Analyst) NF3,Department of the Navy,35000.0,Quantico,Virginia,IT Specialist
IT Specialist (DATAMGT) (Data and Reporting Analyst),Department of the Treasury,92143.0,No location provided,,IT Specialist
IT Specialist (DATAMGT) (Data and Reporting Analyst),Department of the Treasury,92143.0,No location provided,,IT Specialist
IT Specialist (DATAMGT),Department of Veterans Affairs,46083.0,No location provided,,IT Specialist
IT Specialist (DATAMGT),Department of the Treasury,11961.0,Washington,District of Columbia,IT Specialist
IT Specialist (DATAMGT),Department of the Treasury,11961.0,Washington,District of Columbia,IT Specialist
IT SPECIALIST (DATAMGT) T5,Department of the Army,55355.0,Phoenix,Arizona,IT Specialist
IT SPECIALIST( DATAMGT),Department of the Air Force,87198.0,Andrews AFB,Maryland,IT Specialist
IT Specialist (DATAMGT),Department of the Army,10369.0,Fort Meade,Maryland,IT Specialist
IT SPECIALIST (DATAMGT) (T32),Department of the Army,65792.0,Montgomery,Alabama,IT Specialist
IT Specialist (APPSW/DATAMGMT),Other Agencies and Independent Organizations,87198.0,Arlington,Virginia,IT Specialist
IT SPECIALIST (NETWORK/DATAMGT),Department of the Army,45393.0,No location provided,,IT Specialist
IT Specialist (Data Management),Department of Veterans Affairs,66829.0,No location provided,,IT Specialist
IT Specialist (Data Management),Department of Transportation,83458.0,No location provided,,IT Specialist
IT SPECIALIST (DATA MANAGEMENT),Department of Defense,10369.0,Bethesda,Maryland,IT Specialist
IT Specialist (Data Management),Legislative Branch,10369.0,District of Columbia,District of Columbia,IT Specialist
IT Specialist (Data Management),Department of the Army,98151.0,Key West,Florida,IT Specialist
Supervisory IT Specialist (DATAMGT),Department of Commerce,10369.0,Alexandria,Virginia,IT Specialist
Supervisory IT Specialist (DATAMGT),Department of Commerce,10369.0,Alexandria,Virginia,IT Specialist
SUPERVISORY IT SPECIALIST (DATAMGT/APPSW),Department of the Air Force,13164.0,Wright-Patterson AFB,Ohio,IT Specialist
Lead IT Specialist (Network/Data Management),Other Agencies and Independent Organizations,12253.0,Washington,District of Columbia,IT Specialist
"Senior IT Specialist, (DATAMGT) CG-2210-15 TEMP PROM NTE 1 YEAR",Other Agencies and Independent Organizations,12962.0,Washington,District of Columbia,IT Specialist
IT Specialist (DATAMGT) (Data and Reporting Analyst),Department of the Treasury,92143.0,No location provided,,IT Specialist
IT Specialist (DATAMGT),Department of Veterans Affairs,46083.0,No location provided,,IT Specialist
IT Specialist (DATAMGT),Department of the Treasury,11961.0,Washington,District of Columbia,IT Specialist
IT Specialist (DATAMGT),Department of the Treasury,11961.0,Washington,District of Columbia,IT Specialist
IT SPECIALIST (DATAMGT) T5,Department of the Army,55355.0,Phoenix,Arizona,IT Specialist
IT SPECIALIST( DATAMGT),Department of the Air Force,87198.0,Andrews AFB,Maryland,IT Specialist
IT Specialist (DATAMGT),Department of the Army,10369.0,Fort Meade,Maryland,IT Specialist
IT SPECIALIST (DATAMGT) (T32),Department of the Army,65792.0,Montgomery,Alabama,IT Specialist
IT Specialist (APPSW/DATAMGMT),Other Agencies and Independent Organizations,87198.0,Arlington,Virginia,IT Specialist
IT SPECIALIST (NETWORK/DATAMGT),Department of the Army,45393.0,No location provided,,IT Specialist
IT Specialist (Data Management),Department of Veterans Affairs,66829.0,No location provided,,IT Specialist
IT Specialist (Data Management),Department of Transportation,83458.0,No location provided,,IT Specialist
IT SPECIALIST (DATA MANAGEMENT),Department of Defense,10369.0,Bethesda,Maryland,IT Specialist
IT Specialist (Data Management),Legislative Branch,10369.0,District of Columbia,District of Columbia,IT Specialist
IT Specialist (Data Management),Department of the Army,98151.0,Key West,Florida,IT Specialist
Supervisory IT Specialist (DATAMGT),Department of Commerce,10369.0,Alexandria,Virginia,IT Specialist
Supervisory IT Specialist (DATAMGT),Department of Commerce,10369.0,Alexandria,Virginia,IT Specialist
SUPERVISORY IT SPECIALIST (DATAMGT/APPSW),Department of the Air Force,13164.0,Wright-Patterson AFB,Ohio,IT Specialist
Lead IT Specialist (Network/Data Management),Other Agencies and Independent Organizations,12253.0,Washington,District of Columbia,IT Specialist
"Senior IT Specialist, (DATAMGT) CG-2210-15 TEMP PROM NTE 1 YEAR",Other Agencies and Independent Organizations,12962.0,Washington,District of Columbia,IT Specialist
IT Specialist (Helpdesk Analyst) NF3,Department of the Navy,35000.0,Quantico,Virginia,IT Specialist
